,sl,cc,pnl,,sl_long,cc_long,pnl_long,,sl_short,cc_short,pnl_short,,,,,,,,,,,,,symbol,bb window,bb std dev
Total PNL,0.25,0,677.1230809,Long PNL,0.075,13,367.1206933,Short PNL,0.2,18,323.4504746,Total PNL Balance,0.25,0,343180.5155,Long PNL Balance,0.075,13,28678.69744,Short PNL Balance,0.2,18,14448.36997,POLYXUSDT,16,3.5
Total PNL,0.1,0,707.4683485,Long PNL,0.125,0,567.1885211,Short PNL,0,0,228.2518031,Total PNL Balance,0.1,0,72921.16341,Long PNL Balance,0.125,0,61327.52124,Short PNL Balance,0,0,7185.027926,QTUMUSDT,18,3.5
Total PNL,0.3,2,767.7733237,Long PNL,0.3,0,357.9433222,Short PNL,0.3,2,409.8300014,Total PNL Balance,0.3,2,272352.3711,Long PNL Balance,0.3,0,17707.08424,Short PNL Balance,0.3,2,15380.98353,RAYUSDT,16,3.4
Total PNL,0.15,0,1229.372071,Long PNL,0.15,0,859.7606976,Short PNL,0,0,460.6576179,Total PNL Balance,0.15,0,3610355.818,Long PNL Balance,0.15,0,806277.6995,Short PNL Balance,0,0,59813.35196,RLCUSDT,16,3.2
Total PNL,0.15,0,826.824276,Long PNL,0.175,0,464.1234481,Short PNL,0.15,0,390.0005793,Total PNL Balance,0.125,0,363373.218,Long PNL Balance,0.225,19,42923.66898,Short PNL Balance,0.075,0,13282.74362,RNDRUSDT,16,2.8
Total PNL,0.1,0,850.8567222,Long PNL,0.3,0,483.2484682,Short PNL,0.1,0,455.3464207,Total PNL Balance,0,0,636038.5075,Long PNL Balance,0.3,0,46830.83549,Short PNL Balance,0,0,33934.45303,SFPUSDT,16,3.5
Total PNL,0.25,14,809.7328471,Long PNL,0.25,14,710.2908371,Short PNL,0.15,18,167.8272978,Total PNL Balance,0.25,14,128827.0149,Long PNL Balance,0.25,14,297188.5437,Short PNL Balance,0.05,17,1224.340123,SOLUSDT,16,2.8
Total PNL,0.15,0,866.1756493,Long PNL,0.2,0,683.1800291,Short PNL,0.05,0,333.9589884,Total PNL Balance,0.05,0,402152.0595,Long PNL Balance,0.2,0,160674.3999,Short PNL Balance,0.05,0,10548.70171,SOLUSDT,18,3.5
Total PNL,0.3,1,2549.32083,Long PNL,0.225,18,1538.860784,Short PNL,0.3,1,1039.919284,Total PNL Balance,0.3,1,1.50444E+12,Long PNL Balance,0.225,18,1269093676,Short PNL Balance,0,0,8372083.123,STPTUSDT,16,3.3
Total PNL,0.3,1,1888.551667,Long PNL,0.125,0,1236.181817,Short PNL,0.3,1,704.0183446,Total PNL Balance,0.3,1,2021415880,Long PNL Balance,0.125,3,27833166.44,Short PNL Balance,0.3,1,132274.4141,TOMOUSDT,18,3.5
Total PNL,0.075,0,1431.264791,Long PNL,0.175,3,935.2875385,Short PNL,0.075,0,576.331748,Total PNL Balance,0.075,0,51014975.7,Long PNL Balance,0.175,3,2139125.159,Short PNL Balance,0,0,142401.4887,TRBUSDT,17,3.5
Total PNL,0.2,0,1834.181577,Long PNL,0.125,0,895.2857807,Short PNL,0.2,0,974.5992279,Total PNL Balance,0.2,0,13122713671,Long PNL Balance,0.125,0,3681113.76,Short PNL Balance,0.2,0,5142978.514,XVGUSDT,16,3.4
