sl,cc,pnl,sl_long,cc_long,pnl_long,sl_short,cc_short,pnl_short,symbol,bb_window,bb_std_dev
0.15,0,610.7550385959568,0.3,0,346.47978167056004,0.05,0,285.3313957117287,RADUSDT,20,3.4
0.15,0,1229.3720706013116,0.15,0,859.760697573949,0,0,460.65761789006615,RLCUSDT,16,3.2
0.15,0,826.8242759760512,0.175,0,464.1234481314431,0.15,0,390.000579310897,RNDRUSDT,16,2.8
0.1,0,850.8567221582306,0.3,0,483.24846819713434,0.1,0,455.34642067931856,SFPUSDT,16,3.5
0.25,14,809.7328471320269,0.25,14,710.2908371421585,0.15,18,167.82729782555052,SOLUSDT,16,2.8
0.15,0,866.1756492509296,0.2,0,683.1800290811133,0.05,0,333.9589883752273,SOLUSDT,18,3.5
0.175,0,456.20874737164945,0.175,0,211.71898860916707,0.175,0,244.48975876248238,SSVUSDT,16,3.3
0.275,0,786.2797878750429,0.1,11,422.9982033676874,0.275,0,368.3726927517667,STEEMUSDT,16,3.5
0.3,1,2549.3208298237773,0.225,18,1538.8607843625896,0.3,1,1039.9192836838492,STPTUSDT,16,3.3
0.3,6,2081.382728723041,0.175,1,1242.0748109529404,0.3,6,858.5714727357555,STRAXUSDT,16,3.2
0.075,0,1431.2647909356806,0.175,3,935.2875385229058,0.075,0,576.3317480094408,TRBUSDT,17,3.5
0.3,3,1483.8154069973807,0.225,16,836.9320015730557,0.3,3,649.80503257096,TRUUSDT,16,3.2
0.125,0,1567.3102888973228,0.125,0,950.7636578692558,0.125,17,662.261297455335,UNFIUSDT,16,2.9
0.275,1,911.7520249913617,0.15,0,466.6062321188328,0.275,1,478.369957390024,WAXPUSDT,19,3.2
0.2,0,1834.18157693897,0.125,0,895.2857806579282,0.2,0,974.5992279282488,XVGUSDT,16,3.4
0.05,0,638.2126548043213,0.05,0,278.5531419051373,0,0,377.69328523563536,YGGUSDT,20,3.5
